symbol,date,quality_score
EIX,2012-12-31,0.4325142947957387
EIX,2013-12-31,0.460504343808242
EIX,2014-12-31,0.4918813190728316
EIX,2015-12-31,0.7295278485990476
EL,2013-06-30,0.8366449491673563
EL,2014-06-30,0.924020246646331
EL,2015-06-30,0.7472561506421367
EL,2016-06-30,0.6156257705258272
EMN,2012-12-31,0.44193516127982285
EMN,2013-12-31,0.5633415505871798
EMN,2014-12-31,0.4612442390104402
EMN,2015-12-31,0.7570606541390393
EMR,2013-09-30,0.571648375161466
EMR,2014-09-30,0.35007388425512
EMR,2015-09-30,0.6059499932734066
EMR,2016-09-30,0.3850104066350223
EOG,2012-12-31,0.436756381849796
EOG,2013-12-31,0.5330322332568372
EOG,2014-12-31,0.5983331952454488
EOG,2015-12-31,0.5869099513030097
EQIX,2012-12-31,0.44406514921835455
EQIX,2013-12-31,0.47604442022418625
EQIX,2014-12-31,0.5577887581903711
EQIX,2015-12-31,0.7388948311354951
EQR,2012-12-31,0.39957323576371095
EQR,2013-12-31,0.44390867370736947
EQR,2014-12-31,0.4901448479512459
EQR,2015-12-31,0.7343680182799305
EQT,2013-12-31,0.4553123458721233
EQT,2014-12-31,0.5106562109767235
EQT,2015-12-31,0.7164729818687552
EQT,2016-12-31,0.41618933792454904
ES,2012-12-31,0.41624960802517147
ES,2013-12-31,0.4827782610453405
ES,2014-12-31,0.5026485967491039
ES,2015-12-31,0.7444274323689514
ESS,2012-12-31,0.40942598123883484
ESS,2013-12-31,0.46115018689629533
ESS,2014-12-31,0.4636567754058842
ESS,2015-12-31,0.7321913150440382
ETFC,2012-12-31,0.38171444699176865
ETFC,2013-12-31,0.43889428126372515
ETFC,2014-12-31,0.4671638127856829
ETFC,2015-12-31,0.7180677108558866
ETN,2012-12-31,0.418141966757039
ETN,2013-12-31,0.5131088256085637
ETN,2014-12-31,0.5013868537585136
ETN,2015-12-31,0.746370046061587
ETR,2012-12-31,0.40419632399088096
ETR,2013-12-31,0.4617519500444924
ETR,2014-12-31,0.4946950413360477
ETR,2015-12-31,0.713937246255755
EW,2012-12-31,0.5907493549646117
EW,2013-12-31,0.5537430873844593
EW,2014-12-31,0.7115647870930166
EW,2015-12-31,0.7828035492748819
EXC,2013-12-31,0.43753413323864526
EXC,2014-12-31,0.4878410332788904
EXC,2015-12-31,0.7373154563302066
EXC,2016-12-31,0.4252164592111311
EXPD,2012-12-31,0.6079737466923006
EXPD,2013-12-31,0.5840829682324327
EXPD,2014-12-31,0.7050963396650176
EXPD,2015-12-31,0.902739014841297
EXPE,2013-12-31,0.4374340771016519
EXPE,2014-12-31,0.5000518303492048
EXPE,2015-12-31,0.6906864032979823
EXPE,2016-12-31,0.4941952267893625
EXR,2012-12-31,0.4188778466453169
EXR,2013-12-31,0.4687006980516769
EXR,2014-12-31,0.4844366431675803
EXR,2015-12-31,0.723932869586986
F,2013-12-31,0.4469955705564252
F,2014-12-31,0.4465830221002887
F,2015-12-31,0.723881967207868
F,2016-12-31,0.4184186314574072
FAST,2013-12-31,0.9114040629013852
FAST,2014-12-31,0.8434837688587642
FAST,2015-12-31,0.8990087347067914
FAST,2016-12-31,0.6770299851066148
FB,2013-12-31,0.6426254032180809
FB,2014-12-31,0.6425765031511146
FB,2015-12-31,0.8624844280652745
FB,2016-12-31,0.7590168631354673
FBHS,2012-12-31,0.41827760659218627
FBHS,2013-12-31,0.5121248604056273
FBHS,2014-12-31,0.5809213659101681
FBHS,2015-12-31,0.7571298801349938
FCX,2012-12-31,0.5540004419784395
FCX,2013-12-31,0.45505024913269587
FCX,2014-12-31,0.473622455621316
FCX,2015-12-31,0.6322878661098601
FDX,2013-05-31,0.43140173343106586
FDX,2014-05-31,0.4187294607019462
FDX,2015-05-31,0.24776466036272662
FDX,2016-05-31,0.11509553902649901
FE,2012-12-31,0.4190512554230548
FE,2013-12-31,0.45639202542941654
FE,2014-12-31,0.47581722442122526
FE,2015-12-31,0.7406987538298444
FFIV,2013-09-30,0.8785607710536594
FFIV,2014-09-30,0.7761668374987899
FFIV,2015-09-30,0.8482693352908445
FFIV,2016-09-30,0.6335093203763446
FIS,2012-12-31,0.46389893023148115
FIS,2013-12-31,0.4925258420949197
FIS,2014-12-31,0.532471765259906
FIS,2015-12-31,0.7110529769278163
FISV,2012-12-31,0.5012969245647034
FISV,2013-12-31,0.5090365909402613
FISV,2014-12-31,0.5666475650128237
FISV,2015-12-31,0.7808817412644371
FL,2013-02-02,0.46463587982734667
FL,2014-02-01,0.6330548996088212
FL,2015-01-31,0.7378500266735246
FL,2016-01-30,0.7382990993181322
FLIR,2012-12-31,0.5650348795003667
FLIR,2013-12-31,0.5180474487895801
FLIR,2014-12-31,0.5547391780830091
FLIR,2015-12-31,0.7803742137182094
FLR,2013-12-31,0.5315541658593725
FLR,2014-12-31,0.42805783115579044
FLR,2015-12-31,0.7239337651992706
FLR,2016-12-31,0.3365404028142029
FLS,2013-12-31,0.5333259283936652
FLS,2014-12-31,0.577329208694523
FLS,2015-12-31,0.7570087246806587
FLS,2016-12-31,0.43179145445434824
FMC,2012-12-31,0.5174336221939669
FMC,2013-12-31,0.4660287154004878
FMC,2014-12-31,0.513819100392151
FMC,2015-12-31,0.6747019608552987
FRT,2013-12-31,0.449873440666208
FRT,2014-12-31,0.5036175268422676
FRT,2015-12-31,0.7420112880235152
FRT,2016-12-31,0.45902954659798395
FSLR,2012-12-31,0.3727977986869391
FSLR,2013-12-31,0.465356667888901
FSLR,2014-12-31,0.515305557514668
FSLR,2015-12-31,0.7503150508919705
FTR,2012-12-31,0.4362258864292345
FTR,2013-12-31,0.4804297098205356
FTR,2014-12-31,0.49339756176018074
FTR,2015-12-31,0.7310463942345271
GD,2013-12-31,0.49147365353403744
GD,2014-12-31,0.5399001830779047
GD,2015-12-31,0.7825129451709536
GD,2016-12-31,0.49934436137730764
GGP,2012-12-31,0.41237255764367453
GGP,2013-12-31,0.46029995655111566
GGP,2014-12-31,0.4844882100233438
GGP,2015-12-31,0.7227098986192693
GILD,2012-12-31,0.5683682113188643
GILD,2013-12-31,0.5876609933270706
GILD,2014-12-31,0.8177233140198478
GILD,2015-12-31,0.8561720206508613
